ID,SQ1_1,SQ1_2,SQ1_3,SQ2,SQ3,SQ4,SQ5,SQ6,A1,A2,A2_1,A2_2,A2_3,A2_4,A3,A4_1순위,A4_2순위,A5_1,A5_2,A5_2_일,A5_3_a1,A5_3_a2,A5_3_a3,A5_4,A5_5,A6,A6_1_a1,A6_1_a2,A6_1_a3,A6_1_a4,A6_1_a5,A6_1_a6,A6_1_a7,A7,A7_시간,A7_1_a1,A7_1_a2,A7_1_a3,A7_1_a4,A7_2_a1,A7_2_a2,A7_2_a3,A7_2_a4,A7_2_a5,A7_2_a6,A7_2_a7,A7_2_a8,A8,A9_1순위,A9_2순위,A9_3순위,A10_1순위,A10_2순위,A10_3순위,A11_a1,A11_a2,A11_a3,A11_a4,A11_a5,A11_a6,A11,A12_a1,A12_a2,A13_a1,A13_a2,A13_a3,A13_a4,A13_a5,A13_a6,A13_a7,A13_a8,A13_a9,A13_a10,A13_a11,A13_a12,A13_a13,A13_a14,A13_a15,A13_a16,A13_a17,A13_a18,A13_a19,A13_a20,A14_1순위,A14_2순위,A15_1순위,A15_2순위,B1_1,B1_2,B1_3,B1_3_1,B1_3_2,B1_3_2_명,B1_3_3,B1_3_3_명,B1_3_4,B1_3_4_명,B1_3_5,B1_3_5_명,B1_3_6,B1_3_6_명,B1_3_7,B1_3_7_명,B1_4,B1_5,B2,B3,B4,C1_a1,C1_a2,C2_a1,C2_a2,C2_a3,C2_a4,C2_a5,C2_a6,C2_a7,C2_a8,C2_a9,C2_a10,C2_a11,C2_기타,C3_a1,C3_a2,C3_a3,C3_a4,C3_a5,C3_a6,C4,C5_A1,C5_A2,C5_A3,C5_B1,C5_B2,C5_B3,C5_C1,C5_C2,C5_C3,C5_D1,C5_D2,C5_E1,C5_E2,C6,C6_1,D1_1_a1,D1_1_a2,D1_1_a3,D1_1_a4,D1_2_a1,D1_2_a2,D1_2_a3,D1_2_a4,D2,D3,D4_a1,D4_a2,D5_a1,D5_a2,D5_a3,D5_a4,D5_a5,D5_a6,D5_a7,D5_a8,D5_a9,D5_a10,D5_a11,D5,D6_1순위,D6_2순위,D7,D8,D8_일1,D8_시간1,D8_일2,D8_시간2,D8_1,D8_2,D8_2_일,D8_2_시간,D9,D9_일1,D9_시간1,D9_일2,D9_시간2,D9_1_a1,D9_1_a2,D9_1_a3,D9_1_a4,D9_1_a5,D9_1_a6,D9_1_a7,D9_1_a8,D9_2,D9_2_일,D9_2_시간,D10_1_1순위,D10_1_2순위,D10_2_1순위,D10_2_2순위,D11_1_1,D11_1_2,D11_1_3,D11_2_1,D11_2_2,D11_2_3,D11_3_1,D11_3_2,D11_3_3,D11_4_1,D11_4_2,D11_4_3,D12,D13,D14_1순위,D14_2순위,D15_a1,D15_a2,D15_a3,D15_a4,D15_a5,D15_a6,D15_a7,D15_a8,D15_a9,D16_a1,D16_a2,D16_a3,D16_a4,D16_a5,D16_a6,D16_a7,D16_a8,E1_a1,E1_a2,E1_a3,E1_a4,E1_a5,E1_a6,E1_a7,E1_a8,E1_a9,E1_a10,E1_a11,E1_a12,E1_a13,E1_a14,E1_a15,E1_a16,E1_a17,E1_a18,E1_a19,E1_a20,E2,E3,E3_1,E3_2_a1,E3_2_a2,E3_2_a3,E3_2_a4,E3_2_a5,E4,F1_a1,F1_a2,F2_a,F2_a1,F2_a1_1,F2_a1_2,F2_a2,F2_a3_1,F2_a3_2,F2_a3_3,F2_a4,F2_b,F2_b1,F2_b1_1,F2_b1_2,F2_b2,F2_b3_1,F2_b3_2,F2_b3_3,F2_b4,F3_a1,F3_a2,F3_a3,F3_a4,F3_a5,F3_a6,F3_a7,F3_a8,F4,F5,F6_a1,F6_a2,F6_a3,F6_a4,F6_a5,F6_a6,F6_a7,F6_a8,F6_a9,F6_a10,F6_a11,F6_a12,F6_a13,F6_a14,F6_b1,F6_b2,F6_b3,F6_b4,F6_b5,F6_b6,F6_b7,F6_b8,F6_b9,F6_b10,F6_b11,F6_b12,F6_b13,F6_b14,G1,G1_1_1,G1_1_2,G1_1_3,G1_1_4_1,G1_1_4_2,G1_1_4_3,G1_1_5,G1_1_6_a1,G1_1_6_a2,G1_1_6_a3,G1_1_6_a4,G1_1_6_a5,G1_1_6_b1,G1_1_6_b2,G1_1_6_b3,G1_1_6_b4,G1_1_6_b5,G2,G3_a1,G3_a2,G3_a3,G3_a4,G3_a5,G3_a6,G3_a7,G3_a8,G4_a1,G4_a2,G4_a3,G4_a4,G4_기타,G5,G5_1_a1,G5_1_a2,G5_1_a3,G5_1_a4,G5_1_a5,G5_1_a6,G5_1_a7,G5_2,G6,G6_1_a1,G6_1_a2,G6_1_a3,G6_1_a4,G6_1_a5,G6_2_a1,G6_2_a2,G6_2_a3,G6_2_a4,G6_2_a5,G7,G7_1,G7_1_평일,G7_1_주말,G7_2_시간,G7_2_급여,G7_3_1순위,G7_3_2순위,G7_3_3순위,G7_4_1순위,G7_4_2순위,G7_4_3순위,G7_5_1,G7_5_1_시간,G7_5_2,G7_5_3,G7_5_4,G7_5_5_1순위,G7_5_5_2순위,G8_1순위,G8_2순위,G8_3순위,G9,G9_개월,H1_1순위,H1_2순위,H1_3순위,H1_4순위,H2_1순위,H2_2순위,H3_1순위,H3_2순위,H4_1순위,H4_2순위,H5_1순위,H5_2순위,H6,H7_1순위,H7_2순위,H7_3순위
178443,1,3,3,1,73,1,2,7,71,2,2009,9, , ,1,5,4,9,1,2,1, , ,2,5,3, , , , , , , ,1,8,1,3, , ,2,3,7, , , , , , ,1,5,2,2,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,5,1,4, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,3,4,1,3,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,1,1,2,5,300000,2,5,30000,1, , ,1, , , ,4, ,4,4,4,4,1,5,4,1,5,5,2,4,4,4,3,2,5,5,5,3,2,1,1,10,2,6,1,1,2,3, , ,4, , , ,3, , , , , , , , , , , , ,1,5,2,4,6, , ,1,4,8,1,3,9,2, , ,2, , ,5,5,29,25,4,4,2,4,4,4,4,4,4,5,4,4,3,2,4,4,4,9,10, , , , , , , , , , , , , , , , , , ,4,1,2,1, , , , ,70,3,3,1130000,300000,300000,0,330000,500000,0,0,0,1360275,530275,300000,230275,330000,500000,0,0,0,9,2,2,2,2,2,2,2,3,420000,1,2,3,5,8,12, , , , , , , , ,20,30,20, ,10, , ,10, , , ,10, , ,2,7,5,5,40,65,25,500000, , , , , ,1, , , , ,1,5,5,5,5,5,5,5,5,2,2,2,2, ,1,2, , , , , , ,9,2, , , , , ,5, , , , ,1,1,3,1,3,538000,8,9,5,5,6, , , , , , , , , , , ,4, ,2,4,3,1,5,4,1,4,4,3,4,3,5,11, , 
178487,1,3,3,1,66,3,5,4,44,2,2014,1,1,1,7,6,4,6,2, ,1, , ,1,999,2, , , , , , , ,1,1,2, , , ,7, , , , , , , ,2,8,2,6,10, , ,3,2,2,4,4,4,6,3,3,2,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,1, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,3,7,4,3,3,2,2,2,1,1,2,1,2,2,2,2, ,1,1,1,1,1,2,2,2,3,100000,2,3,150000,1, , ,1, , , ,4, ,4,4,4,4,2,2,2,4,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,7,3,4,2,1,2,3, , ,1, , , ,3, , , , , , , , , , , , ,2, , ,3,6, , ,2, , ,1,10,80,2, , ,2, , ,4,4,50,20,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,10, , , , , , , , , , , , , , , , , , , ,2,2, , , , , , ,70,3,3,1000000,300000,300000,0,200000,0,500000,0,0,1200000,500000,300000,200000,200000,0,500000,0,0,9,2,2,2,2,1,2,2,3,1000000,1,2,3,12, , , , , , , , , , ,10,20,50, , , , , , , , ,20, , ,2,7,4,5,25,60,35,2000000,1, , , , , , , , , ,1,4,4,4,4,4,3,4,5,1,2,2,2, ,1,6, , , , , , ,7,2, , , , , ,3, , , , ,1,1,3,99,3,300000,6,8,2,6,1,2, , , , , , , , , , ,4, ,4,2,1,3,2,5,2,4,4,3,3,2,4,11, , 
178507,1,3,3,2,75,1,2,3,36,2,2014,2, , ,1,1,6,9,1,3,1, , ,1,14,2, , , , , , , ,1,6,1,2,3, ,1,2,3,4,7, , , , ,98, , ,10, , ,5,4,4,4,4,4,1,5,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4, , ,2,2,3,2,1, ,2,1,1, ,1, ,1, ,1, ,2,3,1,2,1,4,4,2,2,2,2,1,2,2,2,2,2,2, ,2,1,3,2,1,4,2,1, , ,2,2,50000,1, , ,1, , , ,4, ,5,5,5,5,1,4,2,2,5,4,5,5,3,3,3,1,4,4,4,3,3,3,3,4,1,4,2,3, , , , , ,1,1,2,3, , , , , , , , , , , , ,1,1,1, , , , ,2, , ,2, , ,2, , ,2, , ,4,4,67,27,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,2,10,19, , , , , , , , , , , , , , , , , ,5,1,1,9, , , , ,70,4,4,2660000,2000000,200000,0,660000,0,0,0,0,8800000,2200000,300000,230000,6600000,0,0,0,0,9,1,2,2,1,2,2,1,3,2500000,1,2,3,5, , , , , , , , , , ,30,10,50, ,10, , , , , , , , , ,2,8,5,5,40,67,27,600000, , , , , ,11, , , , ,1,4,4,4,4,4,4,4,4,2,2,1,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,2, , ,3,200000,1,9,4,1,6,2, , , , , , , , , , ,4, ,1,2,4,3,1,3,1,4,4,2,1,3,4,11, , 
178517,1,3,3,2,85,1,2,1,11,1, , , , ,1,1,2,9,1,3,1, , ,1,5,3, , , , , , , ,1,3,1, , , ,2,7, , , , , , , ,1,2,3,10, , ,4,4,4,4,4,4,1,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,2,4,3,3,2,2,2,1,1,2,2,2,2,1,2, ,4,2,3,2,2,2,4,2,10,150000,2,10,5000,2,1,200000,1, , , ,4, ,4,4,3,3,2,2,2,2,4,4,3,3,3,2,3,4,4,4,4,3,3,4,4,2,1,2,1,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,1,1,40,5,5,73,67,2,2,2,3,3,3,3,4,4,3,3,9,2,2,3,3,3,10,11,20, , , , , , , , , , , , , , , , , ,5,2, , , , , , ,65,3,3,700000,300000,300000,0,200000,0,0,200000,0,901000,501000,300000,201000,200000,0,0,200000,0,9,2,2,2,2,2,2,2,3,360000,1,2,3,5,13, , , , , , , , , ,10,20,50, ,10, , , , , , , ,10, ,1, , , , , , , , , , , , , , , , , , ,2,2,2,2,2,4,4,5,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,6, , , , ,1,1,3,99,3,200000,1,2,3,1,2,4, , , , , , , , , , ,4, , , , , , , , , , , , , , , , , 
178555,1,3,3,1,80,3,1,8,88,2,2012,2, , ,4,2,4,9,1,3,1, , ,1,19,2, , , , , , , ,1,1,1, , , ,5,6,7, , , , , , ,2,6,7,10, , ,5,5,3,3,4,4,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1, , ,3,1,2,2,1, ,1, ,1, ,1, ,1, ,1, ,2,1,1,5,3,4,4,2,2,2,2,2,2,1,2,2,2,2, ,1,1,1,1,1,1,2,1, , ,1, , ,1, , ,1, , , ,4, ,4,4,4,4,1,4,2,2,4,4,3,4,3,3,3,2,3,4,4,3,3,3,3,4,1,2,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,1,1,2,2, , ,2, , ,4,5,30,64,1,1,2,3,3,4,2,3,3,4,4,4,5,2,3,3,3,10, , , , , , , , , , , , , , , , , , , ,2,2, , , , , , ,70,4,4,580000,200000,0,200000,80000,300000,0,0,0,580000,200000,0,200000,80000,300000,0,0,0,2,1,2,2,2,2,2,2,3,500000,1,2,3, , , , , , , , , , , ,50,20,30, , , , , , , , , , , ,2,14,4,1,28,58,30,2000000,4, , , , , , , , , ,1,5,5,4,3,4,4,5,5,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,5,0,4,400000,1,4,6,1,5,2, , , , , , , , , , ,4, ,1,2,4,3,1,2,4,1,3,4,1,3,5,11, , 
178707,1,3,3,2,81,2,2,1,11,2,2009,1,1,2,1,2,7,6,1,2,1, , ,1,70,2, , , , , , , ,1,5,1,3, , ,2,5,7, , , , , , ,1,3, ,10, , ,5,4,3,4,5,4,1,4,4,2,4,5,4,4,4,3,2,2,2,3,4,3,3,3,4,4,4,4,4,2,7, , ,2,3,4,1,2,1,1, ,2,2,1, ,1, ,1, ,1,3,2,4,3,4,4,2,2,2,2,1,2,2,2,2,2,2, ,2,1,1,1,1,4,1,1, , ,1, , ,1, , ,1, , , ,4, ,4,4,4,4,2,4,2,2,4,4,2,2,4,4,4,4,4,4,2,4,4,4,4,7,3, ,3,3, , , , , ,9, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,1,1,4,2, , ,1,1,10,4,3,75,73,2,4,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,10, , , , , , , , , , , , , , , , , , , ,2,2, , , , , , ,99,3,3,2200000,2000000,400000,0,200000,0,0,0,0,2200000,2000000,300000,195000,200000,0,0,0,0,2,2,2,2,2,2,2,2,1,375000,5,13, , , , , , , , , , , , , , , , ,50, , , , , , , ,50, ,2,13,5,2,55,84,29,600000,14, , , , , , , , , ,1,3,3,3,3,3,3,3,3,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,4,0,3,300000,1,2, ,1,2,4, , , , , , , , , , ,3, ,1,4,2,3,2,1,4, ,4,1,2,3,3,1, , 
178738,1,3,3,2,70,2,7,3,31,2,2015,2, , ,1,1,4,9,1,3,1, , ,1,5,1,8, , , , , , ,1,6,1,3, , ,2,3, , , , , , , ,1,5,6,7, , ,5,4,2,3,4,3,1,4,2,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,2, , , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,4,6,4,4,2,2,2,1,2,2,2,2,2,2,2, ,2,1,1,2,1,2,2,2,2,3000,2,2,100000,1, , ,1, , , ,4, ,4,4,4,4,2,2,2,2,4,5,2,1,2,2,2,3,3,3,3,3,3,3,3,1,1,3,3,3, , , , , ,2, , ,3, , , , , , , , , , , , ,1,2,1, , , , ,1,1,8,1,1,20,2, , ,2, , ,3,4,67,76,3,2,4,3,5,4,2,2,2,4,4,4,4,4,4,4,4,2,10, , , , , , , , , , , , , , , , , , ,3,2, , , , , , ,80,2,2,800000,300000,300000,0,500000,0,0,0,0,7000000,2000000,300000,196666.666666667,5000000,0,0,0,0,2,2,2,2,2,2,2,2,3,3000000,1,2,3,5, , , , , , , , , , ,20,30,20, ,30, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,2,3,2,2,2,4,5,4,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,2,0,3,300000,1,8,9,12, , , , , , , , , , , , ,2, ,1,2,4,3,1,2,1,4,3,4,2,3,5,7, , 
178815,1,3,3,1,73,2,3,2,24,1, , , , ,4,1,2,7.5,1,3,1, , ,1,10,3, , , , , , , ,1,10,2,3, , ,2,4,7, , , , , , ,98, , ,10, , ,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5, , ,3,1,2,2,1, ,1, ,1, ,1, ,1, ,1, ,2,1,1,4,1,5,5,2,2,2,2,2,2,2,2,2,2,2, ,1,1,1,1,1,1,1,1, , ,1, , ,1, , ,1, , , ,4, ,3,3,3,3,4,6,5,2,3,3,4,4,2,2,2,2,3,3,4,1,2,4,3,8,1,2,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,1,1,3,2, , ,1,1,1,2,4,64,80,2,1,2,1,1,1,2,1,1,3,3,3,5,2,2,3,3,10, , , , , , , , , , , , , , , , , , , ,3,2, , , , , , ,70,2,3,820000,400000,400000,0,320000,100000,0,0,0,886666.666666667,466666.666666667,300000,166666.666666667,320000,100000,0,0,0,9,2,2,2,2,2,2,2,2,450000,1,2,3,4,5, , , , , , , , , ,20,50,20,5,5, , , , , , , , , ,2,18,8,2,25,40,15,1000000,14, , , , , , , , , ,3,5,5,5,5,5,5,5,5,1,2,2,2, ,1,1, , , , , , ,98,2, , , , , ,6, , , , ,2,1,3,0,3,394000,10,1,2,1,2,4,2,3,2,300000,8,6,14, , , ,3, , , , , , , , , , , , , , , , , 
178835,1,3,3,2,69,1,2,1,11,2,2008,2, , ,1,3,6,9,1,3,1, , ,1,16,2, , , , , , , ,1,1,2, , , ,2,5, , , , , , , ,2,4,7,1,5,9,3,3,3,3,3,3,5,3,2,2,3,4,3,3,2,3,3,3,4,3,4,3,4,4,4,4,3,3,3,2,5, , ,2,5,3,2,1, ,2,1,1, ,1, ,1, ,1, ,2,2,1,2,3,4,4,2,1,2,2,2,2,2,2,2,2,2, ,1,1,1,1,1,1,1,1, , ,1, , ,1, , ,1, , , ,4, ,4,4,4,3,2,4,4,2,3,3,3,2,4,3,2,2,2,3,2,3,4,2,3,10,4,5,2,2, , ,1,3,5, , , ,2, , ,99,99,3, , , , , , , , , , ,3,8,4,5,2, , ,2, , ,2, , ,2, , ,1,3,77,67,3,3,2,2,4,3,4,2,2,4,4,3,3,2,2,3,3,10, , , , , , , , , , , , , , , , , , , ,2,1,1,9, , , , ,70,2,2,2360000,2000000,200000,0,360000,0,0,0,0,2560000,2200000,300000,200000,360000,0,0,0,0,2,2,2,2,2,2,2,2,3,2000000,1,8, , , , , , , , , , , , ,50, , , , , , ,50, , , , , , ,2,4,5,1,40,50,10,700000,1, , , , , , , , , ,1,4,4,4,2,4,4,4,5,2,2,2,2, ,1,2, , , , , , ,1,2, , , , , ,5, , , , ,1,1,3,0,3,300000,8,2,3,1,2,5, , , , , , , , , , ,3, ,1,3,2,4,2,4,1,4,3,4,1,2,9,11, , 
178947,1,3,3,2,70,2,3,1,11,2,2010,1,1,1,2,2,7,9,1,3,1, , ,1,50,2, , , , , , , ,1,7,1, , , ,2,3,4,5, , , , ,1,1,7,4,1,9, ,3,4,4,4,5,5,5,5,5,3,3,3,3,4,4,3,3,3,4,4,3,4,3,3,5,5,5,5,4,1,2, , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,5,1,4,4,2,1,2,2,2,2,2,2,2,2,2, ,2,1,1,1,1,2,1,2,1,1500,2,2,24000,1, , ,1, , , ,4, ,5,5,5,5,2,3,2,4,3,5,3,3,1,1,1,1,3,4,3,2,1,2,3,2,1,6,3,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,1,1,3,1,1,1,2, , ,1,1,6,4,4,20,64,3,2,2,3,3,4,4,4,3,1,3,3,3,3,3,3,3,10,20, , , , , , , , , , , , , , , , , , ,2,2, , , , , , ,75,3,3,1004000,300000,300000,0,204000,0,0,0,500000,1204000,500000,300000,200000,204000,0,0,0,500000,9,2,1,2,2,2,2,2,2,675000,1,2,3,5, , , , , , , , , , ,30,50,10, ,10, , , , , , , , , ,2,13,5,4,33,49,16,1500000, , , , , ,1, , , , ,2,3,3,3,5,5,4,5,5,2,2,2,2, ,1,2, , , , , , ,6,2, , , , , ,3, , , , ,1,1,3,99,3,300000,2,6,8,2,1,4, , , , , , , , , , ,4, ,1,2,3,4,4,1,1,2,1,4,2,4,3,1, , 
179022,1,3,3,2,73,3,2,3,36,2,2008,1,1,2,1,2,1,9,1,3,1, , ,1,30,2, , , , , , , ,1,2,1, , , ,2, , , , , , , , ,1,2,7,1,9, ,1,1,1,1,1,4,6,3,3,3,4,4,3,3,3,3,3,3,3, ,3,3,3,2,4,2,3,3,3,2,1, , ,2,1,2,1,1, ,2,1,1, ,1, ,1, ,1, ,1,1,2,7,2,3,4,2,1,2,1,1,2,2,1,1,2,2, ,5,1,4,3,2,2,2,2,5,2000000,2,10,800000,1, , ,1, , , ,1,3,4,4,4,4,1,2,4,6,5,3,3,3,3,3,3,2,3,2,2,1,3,3,3,8,1,2,1,1,3,3, , ,7, , , ,1,3,3, , ,7, , , , , , , , , , ,1,3,3,4,2, , ,2, , ,2, , ,1,1,4,5,5,7,2,3,1,4,2,4,1,3,2,3,5,4,4,3,5,5,3,3,1,2,10, , , , , , , , , , , , , , , , , ,5,1,2,9, , , , ,68,3,4,1800000,1000000,400000,0,200000,400000,0,0,200000,2000000,1200000,300000,230000,200000,400000,0,0,200000,2,2,2,2,2,2,2,2,2,2666666.66666667,1,2, , , , , , , , , , , , ,30,70, , , , , , , , , , , , ,2,7,4,1,35,45,10,600000,99, , , , , , , , , ,9,4,4,4,4,4,4,4,4,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,1, , , , ,1,1,3,0,3,300000,1,2,4,1,2,6, , , , , , , , , , ,4, ,1,2,4,3,1,4,2,1,4,3,1,2,4,11, , 
179023,1,3,3,2,73,3,1,8,83,2,2011,2, , ,4,2,6,10,1,5,1, , ,1,5,2, , , , , , , ,1,3,1, , , ,1,2,3,4,5,6,7, , ,1,2, ,10, , ,5,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2, , ,2,3,5,1,2,2,2,2,1, ,1, ,1, ,1, ,1,3,2,3,1,4,4,2,1,2,1,1,2,1,2,2,2,2, ,4,2,2,1,1,3,1,2,9,700000,2,9,400000,2,1,500000,1, , , ,4, ,9,5,5,4,9,5,5,1,4,5,4,4,4,4,3,2,4,4,2,2,3,2,2,7,1,3,2,3, , , , , ,1,1,4,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,1,1,32,4,4,73,76,2,2,3,3,4,4,3,4,4,9,4,4,4,2,4,4,4,2,10, , , , , , , , , , , , , , , , , , ,4,2, , , , , , ,75,3,3,3300000,3000000,400000,0,300000,0,0,0,0,3500000,3200000,200000,200000,300000,0,0,0,0,9,2,2,2,2,2,2,2,2,1166666.66666667,1,2,4,5,9,12,13, , , , , , , ,20,40, ,10,10, , , ,5, , ,5,10, ,1, , , , , , , , , , , , , , , , , , ,4,2,4,4,4,4,5,4,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,5,0,2,200000,2,4,6,2,4,1, , , , , , , , , , ,4, ,1,3,2,4,4,2,4,1,4,2,3,4,4,11, , 
179047,1,3,3,1,84,2,4,1,11,1, , , , ,1,4, ,6,1,2,1, , ,1,3,3, , , , , , , ,1,1,1, , , ,5,6, , , , , , , ,4,3, ,10, , ,4,4,3,4,4,4,2,4,3,3,3,4,4,4,3,4,4,4,4,4,4,3,4,5,4,4,4,4,4,3, , , ,4,1,1,1,1, ,1, ,1, ,1, ,1, ,1, ,1,1,2,5,4,4,4,2,1,2,2,1,2,2,2,2,2,1, ,2,1,1,1,2,1,2,2,10,20000,2,10,90000,1, , ,1, , , ,4, ,3,3,4,4,5,6,3,3,4,4,4,3,4,2,2,2,3,3,3,2,3,3,4,4,2, ,3,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,4,4,37,7,3,4,4,4,3,3,3,2,3,3,3,3,4,2,2,2,3,1,10, , , , , , , , , , , , , , , , , , ,1,2, , , , , , ,70,1,1,700000,300000,300000,0,400000,0,0,0,0,900000,500000,300000,200000,400000,0,0,0,0,9,2,2,2,2,2,2,2,3,600000,1,2,3,5,9,12, , , , , , , , ,30,30,30, ,8, , , ,1, , ,1, , ,2,14,4,1,30,50,99,450000,15, , , , , , , , , ,1,2,1,1,1,1,3,3,4,2,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,4,99,4,400000,2, , ,4, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , 
179205,1,3,3,2,68,3,8,3,31,2,2013,2, , ,8,3,5,8,1,2,1, , ,1,8,2, , , , , , , ,1,10,1, , , ,4, , , , , , , , ,7,4, ,3,2, ,4,4,4,4,5,4,5,3,3,3,3,3,4,3,3,3,3,3,3, ,3,3,4,3,4,4,4,4,3,2, , , ,2,2,3,2,1, ,2,1,1, ,1, ,1, ,1, ,2,2,1,7,3,3,3,2,1,2,2,2,2,2,2,2,2,2, ,3,1,2,1,2,3,1,1, , ,1, , ,1, , ,1, , , ,4, ,4,3,4,9,3,6,3,9,3,4,3,3,1,3,2,2,3,2,2,1,1,1,1,8,2,6,1,2, , ,1,3,1, , , ,2, , ,3,3,3, , , , , , , , , , ,3,5,4,7,2, , ,2, , ,2, , ,1,1,10,4,4,47,7,3,4,4,1,1,1,3,1,1,3,3,9,2,1,1,3,1,2, , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,65,1,2,1926000,1600000,0,200000,326000,0,0,0,0,1926000,1600000,0,155000,326000,0,0,0,0,2,2,2,2,2,2,2,2,3,1666666.66666667,1,2,3,5, , , , , , , , , , ,10,40,40, ,10, , , , , , , , , ,2,17,4,1,27,32,5,400000,9, , , , , , , , , ,4,1,4,3,3,1,3,4,3,1,1,2,2, ,2, , , , , , , , ,2, , , , , ,3, , , , ,1,1,3,99,5,300000,3,8,2,4,1,6, , , , , , , , , , ,2, ,1,4,3,2,2,3,1,4,4,3,2,3,5,11, , 
179599,1,3,3,1,67,2,2,8,83,2,2014,2, , ,1,2,4,30,1,3,1, , ,2,30,2, , , , , , , ,1,3,1, , , ,2,3,5,7, , , , , ,98, , ,10, , ,5,4,4,4,5,5,1,4,4,5,4,3,3,4,3,3,3,3,4, ,3,4,4,5,5,5,5,5,5,98, , , ,3,1,2,2,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1,4,2,4,4,2,2,2,2,1,2,2,2,2,2,2, ,1,1,1,1,1,1,1,1, , ,2,1,30000,1, , ,1, , , ,4, ,4,3,5,4,3,6,2,2,3,4,4,3,4,3,3,2,3,3,2,2,3,2,2,4,1,4,2,3, , , , , ,2, , ,3, , , , , , , , , , , , ,2, , , , , , ,2, , ,2, , ,2, , ,2, , ,4,4,64,67,1,1,5,3,5,5,3,5,5,4,4,4,5,4,4,5,5,2, , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,80,4,4,1020000,700000,400000,0,320000,0,0,0,0,1020000,700000,300000,230000,320000,0,0,0,0,2,2,2,2,2,2,2,2,1,500000,1,2,3, , , , , , , , , , , ,30,40,30, , , , , , , , , , , ,2,4,9,1,22,55,33,1000000, , , , , ,1, , , , ,1,5,5,4,4,4,4,4,4,1,2,2,2, ,2, , , , , , , , ,2, , , , , ,4, , , , ,1,1,3,99,4,300000,2,4,6,4,1,5, , , , , , , , , , ,4, ,1,2,4,3,2,5,1,2,1,2,1,2,5,11, , 
